clientId,company,category,city,state,contactTitle,website,pitchAngle,source,seedFile
osm-458686693,Agusta Westland,commercial_solar,Nj-Phila Port,NJ,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-382983759,Ai Industries,commercial_solar,Austin,TX,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-590078272,Aim Recycling Phoenix,commercial_solar,Phoenix,AZ,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-169472753,Air Cargo Terminal 1,commercial_solar,Columbus,OH,Director of Facilities,,Warehouse building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-169472759,Air Cargo Terminal 2,commercial_solar,Columbus,OH,Director of Facilities,,Warehouse building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-169459468,Air Cargo Terminal 3,commercial_solar,Columbus,OH,Director of Facilities,,Warehouse building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-169459455,Air Cargo Terminal 4,commercial_solar,Columbus,OH,Director of Facilities,,Warehouse building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-586417766,Air Cargo Terminal 5,commercial_solar,Columbus,OH,Director of Facilities,,Warehouse building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-1233478477,Air Filters,commercial_solar,Richmond,VA,Director of Facilities,,Industrial_machinery building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-851424890,Air Liquide,commercial_solar,Denver,CO,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-585622300,Air Liquide Large Industries U S Lp,commercial_solar,Houston,TX,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-855937940,Air Products,commercial_solar,St Louis,MO,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-613955260,Air Products & Chemicals,commercial_solar,Houston,TX,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-266886313,Air Zoom Alpha,commercial_solar,Beaverton,OR,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-424396497,Airborn,commercial_solar,Dallas-Fw,TX,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-220838700,Aircare Colorado Vehicle Emissions Testing Station,commercial_solar,Denver,CO,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-1455837872,Aircraft Restoration & Marketing,commercial_solar,Tucson,AZ,Director of Facilities,,Scrap_yard building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-40040177,Airgas,commercial_solar,Inland Empire Ca,CA,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-490636550,Airgas,commercial_solar,Richmond,VA,Director of Facilities,,Industrial_gases building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-263446087,Airgas Puritan Medical,commercial_solar,Henderson,CO,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-285355679,Airport Buffer Area,commercial_solar,Seattle,WA,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-738068001,Airport Business Complex,commercial_solar,Nj-Phila Port,NJ,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-973298990,Airport Consolidated Maintenance Complex,commercial_solar,Austin,TX,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-34772575,Airport Industrial Park,commercial_solar,Atlanta,GA,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-162501525,Airport Maintenance,commercial_solar,Chicago,IL,Director of Facilities,,Warehouse building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-163490314,Airport Maintenance Complex (Amc),commercial_solar,Chicago,IL,Director of Facilities,,Warehouse building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-916814605,Airport Police And Rescue Firefighting Facility,commercial_solar,Nashville,TN,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-313129372,Airvan,commercial_solar,Jacksonville,FL,Director of Facilities,,Warehouse building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-541643287,Airworld Center,commercial_solar,Kansas City,MO,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-115947115,Ait Worldwide Logistics,commercial_solar,Chicago,IL,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-1422308928,Aj Rose Manufacturing Company,commercial_solar,Avon,OH,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-287935284,Ajinomoto,commercial_solar,Portland,OR,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-199289652,"Ajinomoto North America, Inc.: North Carolina Plant",commercial_solar,Raleigh-Durham,NC,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-412177072,Al'S Towing,commercial_solar,Los Angeles,CA,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-274478370,Alameda County Household Hazardous Waste Facility,commercial_solar,Oakland,CA,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-257725037,"Alameda Electrical Distributors, Inc.",commercial_solar,Alameda,CA,Director of Facilities,,Warehouse building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-52495692,Alameda-Contra Costa Transit District,commercial_solar,Bay Area,CA,Director of Facilities,,Depot building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-981640319,Alamo Concrete Plant 29,commercial_solar,San Antonio,TX,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-410320097,Alamo Concrete Products,commercial_solar,San Antonio,TX,Director of Facilities,,Factory building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-655049784,Alamo Concrete Products,commercial_solar,San Antonio,TX,Director of Facilities,,Works building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-189421070,Alamo Crossing Commerce Center,commercial_solar,Houston,TX,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-289447199,Alamo Junction Rail Park,commercial_solar,San Antonio,TX,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-398836779,Alamo Welding And Boiler,commercial_solar,San Antonio,TX,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-52735107,Alaska Airlines Cargo,commercial_solar,Seatac,WA,Director of Facilities,,Warehouse building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-33006997,"Albany Engineered Composites, Inc.",commercial_solar,Salt Lake City,UT,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-33007173,Albany Engineering Composites,commercial_solar,Salt Lake City,UT,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-160263611,Albert Lee Distribution Center,commercial_solar,Seattle,WA,Director of Facilities,,Warehouse building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-370808665,Albertson'S Distribution Center,commercial_solar,Irvine,CA,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-507673420,Albertsons,commercial_solar,Dallas-Fw,TX,Director of Facilities,,Warehouse building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-203961724,Albertsons Warehouse,commercial_solar,Tempe,AZ,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-247170519,Albertsons/Vons/Safeway Distribution Warehouse Brea,commercial_solar,Los Angeles,CA,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-247170519,Albertsons/Vons/Safeway Distribution Warehouse Brea,commercial_solar,Inland Empire Ca,CA,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-250456922,Alcon Auto Body Repair,commercial_solar,Ny-Nj Port,NY,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-425452857,Alderra Park,commercial_solar,Seattle,WA,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-393920162,Aldi,commercial_solar,Linden,NJ,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-390707623,Aldi,commercial_solar,Kansas City,MO,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-809430900,Aldi Distribution Center,commercial_solar,Houston,TX,Director of Facilities,,Warehouse building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-386283878,Alert Door Service,commercial_solar,Bay Area,CA,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-210171868,Alex & A Auto Repair,commercial_solar,Chicago,IL,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-368336121,Alexis Foods,commercial_solar,Portland,OR,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-707031864,Alfa Laval,commercial_solar,Richmond,VA,Director of Facilities,,Industrial_machinery building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
